Perfect Matches
User Term,User Data Example,Matched Term,Matched Data Example
country,USA,country,US
decimalLatitude,31.21016,decimalLatitude,26.997
decimalLongitude,-77.85317,decimalLongitude,-79.618
maximumDepthInMeters,505.09,maximumDepthInMeters,49
minimumDepthInMeters,505.09,minimumDepthInMeters,49

ID Terms
User Term,User Data Example,NOAA ID Term,NOAA Data Example
expeditionCode,EX2107_eDNA,source_material_id,GOMECC4_27N_Sta1_DCM
eventID,EX2107_D01_01,cruise_id,GOMECC-4 (2021)
permitURI,None,line_id,27N
recordedByID,None,locationID,27N_Sta1
projectId,575,,
bcid,https://n2t.net/ark:/21547/Fff2EX2107_D01_01,,

Date and Time Terms
User Term,User Data Example,NOAA Term,NOAA Data Example
yearCollected,2021,verbatimEventDate,2021-09-14T11:00-04:00
dayCollected,27,eventDate,2021-09-14T07:00
monthCollected,10,6/24/2024,6/24/2024
timeOfDay,20211027T131133,,

AI Powered Matches
User Term,User Data Example,Matched Term,Matched Data Example,Score
eventEnteredBy,Allen Collins,maximumDepthInMeters,49,0.6946988105773926
,,station,Sta1,0.6875863075256348
locality,Blake Plateau: Reef Tracts,geo_loc_name,"USA: Atlantic Ocean, east of Florida (27 N)",0.7511692047119141
,,waterBody,"Mexico, Gulf of",0.7384054064750671
samplingProtocol,1.7 liters water by Niskin on D2,notes_sampling,Only enough water for 2 surface replicates. ,0.8632233142852783
,,samp_mat_process,Pumped through Sterivex filter (0.22-µm) using peristaltic pµmp,0.84330815076828
collectorList,NOAA Ocean Exploration,sample_type,seawater,0.8040682077407837
,,station,Sta1,0.7946738004684448
continentOcean,Atlantic Ocean,organism,seawater metagenome,0.7840613126754761
,,waterBody,"Mexico, Gulf of",0.7736250162124634
county,None,country,US,0.8005041480064392
,,station,Sta1,0.7617459893226624
depthOfBottomInMeters,870,maximumDepthInMeters,49,0.9092578887939453
,,minimumDepthInMeters,49,0.9010258913040161
habitat,oceanic mesopelagic zone biome,organism,seawater metagenome,0.7832810282707214
,,geo_loc_name,"USA: Atlantic Ocean, east of Florida (27 N)",0.7339504361152649
horizontalDatum,None,maximumDepthInMeters,49,0.7455192804336548
,,station,Sta1,0.7405990958213806
island,Puerto Rico,waterBody,"Mexico, Gulf of",0.7668910026550293
,,country,US,0.7544000744819641
islandGroup,Greater Antilles,station,Sta1,0.8068492412567139
,,waterBody,"Mexico, Gulf of",0.8006716966629028
landowner,None,country,US,0.6219609975814819
,,station,Sta1,0.6126562356948853
maximumElevationInMeters,None,maximumDepthInMeters,49,0.8611293435096741
,,minimumDepthInMeters,49,0.8449792265892029
coordinateUncertaintyInMeters,None,maximumDepthInMeters,49,0.7880256175994873
,,minimumDepthInMeters,49,0.7848321795463562
microHabitat,Deep Scattering Layer,organism,seawater metagenome,0.808409571647644
,,station,Sta1,0.7795432806015015
minimumElevationInMeters,None,maximumDepthInMeters,49,0.8380767703056335
,,minimumDepthInMeters,49,0.8281117677688599
permitInformation,None,station,Sta1,0.7121695876121521
,,locationID,27N_Sta1,0.7111552953720093
eventRemarks,Midwater,station,Sta1,0.8060516119003296
,,maximumDepthInMeters,49,0.7694004774093628
stateProvince,None,station,Sta1,0.7744635343551636
,,country,US,0.7456732988357544
taxTeam,None,samp_store_dur,None,0.773580014705658
,,samp_size,None,0.7677815556526184
verbatimLatitude,None,sterilise_method,None,0.6493532657623291
,,decimalLatitude,26.997,0.6321367621421814
verbatimLongitude,None,decimalLatitude,26.997,0.7046932578086853
,,maximumDepthInMeters,49,0.7006303668022156
environmentalMedium,sea water,organism,seawater metagenome,0.815802276134491
,,sample_type,seawater,0.7757130861282349
permitType,None,samp_size,None,0.7728361487388611
,,collection_method,CTD rosette,0.744035005569458
permitText,None,station,Sta1,0.7794075608253479
,,samp_size,None,0.7793646454811096
permitStatus,None,station,Sta1,0.7031542062759399
,,collection_method,CTD rosette,0.6869689226150513


Note: Scores indicate the similarity confidence. Higher scores imply better matches.
